"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250?  Tell 192.168.1.100"
"2","0.765025000","192.168.1.100","192.168.1.255","UDP","63","Source port: 65387  Destination port: 32412"
"3","0.766154000","192.168.1.100","192.168.1.255","UDP","63","Source port: 65391  Destination port: 32414"
"4","0.769730000","192.168.1.135","192.168.1.255","UDP","63","Source port: 65385  Destination port: 32412"
"5","0.770953000","192.168.1.135","192.168.1.255","UDP","63","Source port: 65389  Destination port: 32414"
"6","4.009094000","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250?  Tell 192.168.1.100"
"7","5.000304000","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250?  Tell 192.168.1.100"
"8","5.763996000","192.168.1.100","192.168.1.255","UDP","63","Source port: 65387  Destination port: 32412"
"9","5.765072000","192.168.1.100","192.168.1.255","UDP","63","Source port: 65391  Destination port: 32414"
"10","5.766474000","192.168.1.135","192.168.1.255","UDP","63","Source port: 65385  Destination port: 32412"
"11","5.767657000","192.168.1.135","192.168.1.255","UDP","63","Source port: 65389  Destination port: 32414"
"12","5.999734000","AsustekC_bc:42:24","Broadcast","ARP","60","Who has 192.168.1.250?  Tell 192.168.1.100"
"13","6.982354000","192.168.1.109","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"14","6.988411000","192.168.1.100","192.168.1.109","UDP","381","Source port: 58587  Destination port: 59008"
"15","6.988510000","192.168.1.109","239.255.255.250","IGMPv2","46","Membership Report group 239.255.255.250"
"16","7.037509000","192.168.1.109","192.168.1.100","TCP","74","55398 > 32469 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=4294922419 TSecr=0 WS=128"
"17","7.046852000","192.168.1.100","192.168.1.109","TCP","74","32469 > 55398 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=368874700 TSecr=4294922419"
"18","7.046891000","192.168.1.109","192.168.1.100","TCP","66","55398 > 32469 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=4294922421 TSecr=368874700"
