"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"2","0.039006","Cisco-Li_65:d1:20","Broadcast","ARP","42","Who has 192.168.1.134? Tell 192.168.1.1"
"3","0.101163","192.168.1.134","239.255.255.250","SSDP","369","NOTIFY * HTTP/1.1 "
"4","0.207271","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"5","0.309053","192.168.1.134","239.255.255.250","SSDP","378","NOTIFY * HTTP/1.1 "
"6","0.413406","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"7","0.517369","192.168.1.134","239.255.255.250","SSDP","433","NOTIFY * HTTP/1.1 "
"8","0.621708","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"9","0.713152","192.168.1.109","24.156.131.29","TCP","55","[TCP segment of a reassembled PDU]"
"10","0.725408","192.168.1.134","239.255.255.250","SSDP","443","NOTIFY * HTTP/1.1 "
"11","0.741258","24.156.131.29","192.168.1.109","TCP","66","443  >  50077 [ACK] Seq=1 Ack=2 Win=245 Len=0 SLE=1 SRE=2"
"12","1.828397","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"13","1.829407","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"14","1.843583","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"15","1.844742","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"16","6.631118","192.168.1.109","24.156.131.98","TLSv1.2","144","Application Data"
"17","6.631487","192.168.1.109","24.156.131.98","TLSv1.2","100","Application Data"
"18","6.651011","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=1 Ack=91 Win=254 Len=0"
"19","6.651201","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=1 Ack=137 Win=254 Len=0"
"20","6.653563","24.156.131.98","192.168.1.109","TLSv1.2","100","Application Data"
"21","6.680355","24.156.131.98","192.168.1.109","TLSv1.2","181","[TCP Previous segment not captured] Application Data, Application Data"
"22","6.680451","192.168.1.109","24.156.131.98","TCP","66","49793  >  443 [ACK] Seq=137 Ack=47 Win=255 Len=0 SLE=142 SRE=269"
"23","6.680732","24.156.131.98","192.168.1.109","TCP","149","[TCP Out-Of-Order] 443  >  49793 [PSH, ACK] Seq=47 Ack=137 Win=254 Len=95"
"24","6.680809","192.168.1.109","24.156.131.98","TCP","54","49793  >  443 [ACK] Seq=137 Ack=269 Win=254 Len=0"
"25","6.681758","192.168.1.109","24.156.131.98","TLSv1.2","100","Application Data"
"26","6.737513","24.156.131.98","192.168.1.109","TCP","60","443  >  49793 [ACK] Seq=269 Ack=183 Win=254 Len=0"
"27","6.825801","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"28","6.826886","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"29","6.828010","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"30","6.830222","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"31","11.801468","192.168.1.109","172.217.0.174","TCP","55","[TCP segment of a reassembled PDU]"
"32","11.825761","192.168.1.100","192.168.1.255","UDP","63","65387  >  32412  Len=21"
"33","11.827129","192.168.1.100","192.168.1.255","UDP","63","65391  >  32414  Len=21"
"34","11.830577","192.168.1.135","192.168.1.255","UDP","63","65385  >  32412  Len=21"
"35","11.831744","192.168.1.135","192.168.1.255","UDP","63","65389  >  32414  Len=21"
"36","11.849597","172.217.0.174","192.168.1.109","TCP","66","443  >  50060 [ACK] Seq=1 Ack=2 Win=369 Len=0 SLE=1 SRE=2"
"37","13.421138","2001:0:9d38:6abd:10df:1f87:9c15:6df3","ff02::1","IPv6","82","IPv6 no next header"
"38","13.422525","192.168.1.109","192.168.1.100","UDP","94","61742  >  57464  Len=52"
"39","16.481526","192.168.1.109","66.185.84.167","TCP","55","[TCP segment of a reassembled PDU]"
"40","16.519111","66.185.84.167","192.168.1.109","TCP","66","443  >  50071 [ACK] Seq=1 Ack=2 Win=280 Len=0 SLE=1 SRE=2"
